57045	109	558	All	25	1	NULL	2026-04-15 11:53:57.250	29	NULL	2026-04-15 11:53:57.057
57046	109	558	All	36	1	NULL	2026-04-15 11:53:57.257	29	NULL	2026-04-15 11:53:57.057
57047	109	558	All	37	2	NULL	2026-04-15 11:53:57.263	29	NULL	2026-04-15 11:53:57.057
57048	109	558	All	38	NULL	no	2026-04-15 11:53:57.270	29	NULL	2026-04-15 11:53:57.057
57049	109	558	All	39	NULL	no	2026-04-15 11:53:57.277	29	NULL	2026-04-15 11:53:57.057
57050	109	558	All	40	NULL	no	2026-04-15 11:53:57.283	29	NULL	2026-04-15 11:53:57.057
57051	109	558	All	28	2	NULL	2026-04-15 11:53:57.290	29	NULL	2026-04-15 11:53:57.057
57052	109	558	All	41	NULL	no	2026-04-15 11:53:57.297	29	NULL	2026-04-15 11:53:57.057
57053	109	558	All	42	NULL	no	2026-04-15 11:53:57.303	29	NULL	2026-04-15 11:53:57.057
57054	109	558	All	34	NULL	NULL	2026-04-15 11:53:57.310	29	NULL	2026-04-15 11:53:57.057
57055	109	558	All	35	0	NULL	2026-04-15 11:53:57.317	29	NULL	2026-04-15 11:53:57.057
57056	109	558	All	1	1	NULL	2026-04-15 11:55:29.697	30	NULL	2026-04-15 11:55:29.673
57057	109	558	All	2	1	NULL	2026-04-15 11:55:29.700	30	NULL	2026-04-15 11:55:29.673
57058	109	558	All	3	2	NULL	2026-04-15 11:55:29.710	30	NULL	2026-04-15 11:55:29.673
57059	109	558	All	4	2	NULL	2026-04-15 11:55:29.717	30	NULL	2026-04-15 11:55:29.673
57060	109	558	All	5	1	NULL	2026-04-15 11:55:29.720	30	NULL	2026-04-15 11:55:29.673
57061	109	558	All	6	1	NULL	2026-04-15 11:55:29.727	30	NULL	2026-04-15 11:55:29.673
57062	109	558	All	7	1	NULL	2026-04-15 11:55:29.733	30	NULL	2026-04-15 11:55:29.673
57063	109	558	All	8	1	NULL	2026-04-15 11:55:29.740	30	NULL	2026-04-15 11:55:29.673
57064	109	558	All	9	2	NULL	2026-04-15 11:55:29.747	30	NULL	2026-04-15 11:55:29.673
57065	109	558	All	10	1	NULL	2026-04-15 11:55:29.753	30	NULL	2026-04-15 11:55:29.673
57066	109	558	All	11	1	NULL	2026-04-15 11:55:29.760	30	NULL	2026-04-15 11:55:29.673
57067	109	558	All	12	1	NULL	2026-04-15 11:55:29.767	30	NULL	2026-04-15 11:55:29.673
57068	109	558	All	13	2	NULL	2026-04-15 11:55:29.773	30	NULL	2026-04-15 11:55:29.673
57069	109	558	All	14	1	NULL	2026-04-15 11:55:29.780	30	NULL	2026-04-15 11:55:29.673
57070	109	558	All	15	1	NULL	2026-04-15 11:55:29.787	30	NULL	2026-04-15 11:55:29.673
57071	109	558	All	16	2	NULL	2026-04-15 11:55:29.790	30	NULL	2026-04-15 11:55:29.673
57072	109	558	All	17	2	NULL	2026-04-15 11:55:29.800	30	NULL	2026-04-15 11:55:29.673
57073	109	558	All	18	2	NULL	2026-04-15 11:55:29.803	30	NULL	2026-04-15 11:55:29.673
57074	109	558	All	19	2	NULL	2026-04-15 11:55:29.810	30	NULL	2026-04-15 11:55:29.673
57075	109	558	All	26	NULL	no	2026-04-15 11:55:29.817	30	NULL	2026-04-15 11:55:29.673
57076	109	558	All	27	NULL	no	2026-04-15 11:55:29.823	30	NULL	2026-04-15 11:55:29.673
57077	109	558	All	30	1	NULL	2026-04-15 11:55:29.830	30	NULL	2026-04-15 11:55:29.673
57078	109	558	All	31	1	NULL	2026-04-15 11:55:29.837	30	NULL	2026-04-15 11:55:29.673
57079	109	558	All	32	2	NULL	2026-04-15 11:55:29.843	30	NULL	2026-04-15 11:55:29.673
57080	109	558	All	33	1	NULL	2026-04-15 11:55:29.850	30	NULL	2026-04-15 11:55:29.673
57081	109	558	All	20	2	NULL	2026-04-15 11:55:29.857	30	NULL	2026-04-15 11:55:29.673
57082	109	558	All	21	2	NULL	2026-04-15 11:55:29.863	30	NULL	2026-04-15 11:55:29.673
57083	109	558	All	22	1	NULL	2026-04-15 11:55:29.870	30	NULL	2026-04-15 11:55:29.673
57084	109	558	All	23	1	NULL	2026-04-15 11:55:29.877	30	NULL	2026-04-15 11:55:29.673
57085	109	558	All	24	1	NULL	2026-04-15 11:55:29.880	30	NULL	2026-04-15 11:55:29.673
57086	109	558	All	25	1	NULL	2026-04-15 11:55:29.887	30	NULL	2026-04-15 11:55:29.673
57087	109	558	All	36	1	NULL	2026-04-15 11:55:29.893	30	NULL	2026-04-15 11:55:29.673
57088	109	558	All	37	2	NULL	2026-04-15 11:55:29.900	30	NULL	2026-04-15 11:55:29.673
